Largest continent in the world	Asia	Antarctica	Australia	Africa	https://cdn.britannica.com/94/75394-050-C3F58654/World-map-Continents-Oceans-Seas.jpg
Capital of Colombia	Bogota	Brussels	Bangladesh	Barcelona	https://i.ibb.co/M72fR2C/Colombia.jpg
Author who wrote Don Quixote	Miguel de Cervantes	Agatha Christie	Geoffrey Chaucer	Charles Dickens	https://img2.rtve.es/i/?w=1600&i=1434466887284.jpg
Lead singer of the band "The Offspring"	Dexter Holland	Dennis DeYoung	David Coverdale	Doug Robb	https://www.publico.es/files/article_main/files/crop/uploads/2019/08/01/5d43111ab3fb5..0-0-880-453.jpg
Which is a famous novel by Jane Austen	Emma	Eragon	Ender's Game	Everything I Never Told You	https://historia-biografia.com/wp-content/uploads/2018/01/Jane-Austen.jpg
Chemical simbol for iron	Fe	Fr	F	Fl	https://png.pngtree.com/png-vector/20220208/ourlarge/pngtree-periodic-table-chemical-png-image_4382083.png	
Country with capital whose capital is Tbilisi	Georgia	Germany	Ghana	Greece	https://www.advantour.com/img/georgia/images/tbilisi.jpg
Mountain range located in Asia	Himalayas	Hekla	Harney Peak	Haba Xueshan	https://cdn.pixabay.com/photo/2017/02/14/03/03/ama-dablam-2064522_1280.jpg
Island located in the Mediterranean Sea	Sicily Island	Madagascar Island	Bali Island	Vancouver Island	https://media.cnn.com/api/v1/images/stellar/prod/180219103122-zanzibar-and-its-islands-mnemba-a-view-from-the-sky-mnemba-island-lodge.jpg?q=w_1600,h_900,x_0,y_0,c_fill/w_1280
Feeling that means great happiness or delight	Joy	Jealousy	Jitteriness	Jadedness	https://s3.wp.wsu.edu/uploads/sites/2797/2022/11/iStock-1227064104wp.jpg
Measure that refers to distances	Kilometer	Kelvin	Kilogram	Kiloamper	https://d138zd1ktt9iqe.cloudfront.net/media/seo_landing_files/file-unnamed-1597658775.jpg
Technique used to add depth or meaning to writing	Literary device	Literature review	Literary canon	Language learning	https://media.istockphoto.com/id/522513933/es/foto/reserve-y-las-letras.jpg?s=612x612&w=0&k=20&c=gB8SOwK_NCZG7pYPrupes167GjY7LXl3lcWyyLJGT40=
Which state of EEUU consists of 2 peninsulas?	Michigan	Minnesota	Mississippi	Missouri	https://upload.wikimedia.org/wikipedia/commons/2/24/MichiganCities.png
Structure made by birds for laying eggs	Nest	Nurture	Nature	Nectar	https://t4.ftcdn.net/jpg/02/05/05/03/360_F_205050302_B3EplqpMkelaCqFHSXRQtnbDj0eEtz4v.jpg
What animal has tentacles?	Octopus	Orangutan	Ocelot	Owl	https://www.lavanguardia.com/files/og_thumbnail/uploads/2019/10/02/5fa53234969ff.jpeg
Currency of Argentina	Peso	Penny	Pound	Pula	https://previews.123rf.com/images/eltoro69/eltoro691204/eltoro69120400032/13077355-las-principales-divisas-en-el-mapa-del-mundo-ilustraci%C3%B3n-abstracta-de-negocios.jpg
Grain-like crop that is rich in protein 	Quinoa	Quail	Quesadilla	Quiche	https://www.recetasderechupete.com/wp-content/uploads/2020/09/quinoa-cocida.jpg
What type of flower is often associated with love?	Rose	Redbud	Red Hot Poker	Rudbeckia	https://assets.teenvogue.com/photos/61fc8c698be5c8e89dcde043/16:9/w_2560%2Cc_limit/GettyImages-1302168183.jpg
What is the name of the device used to measure earthquakes?	Seismometer	Sphygmomanometer	Spectroscope	Spirometer	https://javalab.org/wp-content/uploads/seismometer_and_inertia.png
Which one is bridge over the River Thames in London?	Tower Bridge	Taj Mahal	Trevi Fountain	Terracotta Army	https://www.thelondres.com/wp-content/uploads/2018/08/tower-bridge.jpg
Computer system that allows users to interact with it	User interface	USB	Unix	URL	https://i.workana.com/wp-content/uploads/2021/07/que-es-user-interface-o-interfaz-de-usuario-UI-workana-glosario.jpg
Detached house in the countryside	Villa	Village	Victorian house	Vardo	https://bohemianandchic.com/sites/default/files/%5Bdate%3Acustom%3AY%5D-%5Bdate%3Acustom%3Am%5D/col-delle-noci-italian-villa-landscape.jpg
Wireless connection system to connect to the internet	Wifi	Web	Windows	Wikipedia	https://s2.ppllstatics.com/rc/www/multimedia/2023/04/11/cuantas-horas-pasamos-internet.jpg
Fabulous bird that the ancients believed was unique (contains "X")	Fenix	Waxwing	Dixie Chick	Boxwood	https://i.natgeofe.com/n/8b301deb-5015-4061-ac6d-47bf88e81e54/EAW%20Submission-03031-2_square.jpg
Name of the country (contains "Y")	Camboya	Fiyi	Paraguay	Uruguay	https://www.oedimdecor.com/wp-content/uploads/2021/03/camboya.jpg
Name of the animal	Zebra	Zorse	Zonkey	Zebu	https://cdn.pixabay.com/photo/2020/03/10/04/48/animal-4917802_1280.jpg
